   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       2
     2   ...       4
     3   ...       6
     4   ...      10
     5   ...      11
     6   ...      12
     7   ...       1
     8   ...       3
     9   ...       5
    10   ...       7
    11   ...       8
    12   ...       9
  ------------------------------------------------------------------------
